"","Date","Temperature","Celsius"
"160",1986-02-20,"ATMP",3.1
"161",1986-02-21,"ATMP",-0.5
"162",1986-02-22,"ATMP",0.4
"163",1986-02-23,"ATMP",0.1
"164",1986-02-24,"ATMP",-5.7
"165",1986-02-25,"ATMP",-4.3
"166",1986-02-26,"ATMP",-6.1
"167",1986-02-27,"ATMP",-4.7
"168",1986-02-28,"ATMP",-2.1
"169",1986-03-01,"ATMP",0.2
"170",1986-03-02,"ATMP",2.4
"171",1986-03-03,"ATMP",1.3
"172",1986-03-04,"ATMP",1.6
"173",1986-03-05,"ATMP",0.9
"174",1986-03-06,"ATMP",-1.1
"175",1986-03-07,"ATMP",0.8
"176",1986-03-08,"ATMP",0.7
"177",1986-03-09,"ATMP",-6.1
"178",1986-03-10,"ATMP",-2
"179",1986-03-11,"ATMP",-3.5
"180",1986-03-12,"ATMP",-2.2
"181",1986-03-13,"ATMP",-2.5
"182",1986-03-14,"ATMP",-1.4
"183",1986-03-15,"ATMP",-0.1
"184",1986-03-16,"ATMP",1.8
"185",1986-03-17,"ATMP",1.4
"186",1986-03-18,"ATMP",0
"187",1986-03-19,"ATMP",1.9
"188",1986-03-20,"ATMP",2.2
"189",1986-03-21,"ATMP",2.5
"190",1986-03-22,"ATMP",2.8
"191",1986-03-23,"ATMP",2.5
"192",1986-03-24,"ATMP",0
"193",1986-03-25,"ATMP",-1.6
"194",1986-03-26,"ATMP",-1
"195",1986-03-27,"ATMP",-5.1
"196",1986-03-28,"ATMP",-5.9
"197",1986-03-29,"ATMP",-3.6
"198",1986-03-30,"ATMP",1.1
"199",1986-03-31,"ATMP",0.9
"200",1986-04-01,"ATMP",0.4
"201",1986-04-02,"ATMP",-1.1
"202",1986-04-03,"ATMP",-0.1
"203",1986-04-04,"ATMP",-2.8
"204",1986-04-05,"ATMP",-6
"205",1986-04-06,"ATMP",-2
"206",1986-04-07,"ATMP",2.3
"207",1986-04-08,"ATMP",3.3
"208",1986-04-09,"ATMP",3.8
"209",1986-04-10,"ATMP",3.6
"210",1986-04-11,"ATMP",3.5
"211",1986-04-12,"ATMP",2.9
"212",1986-04-13,"ATMP",3.5
"213",1986-04-14,"ATMP",3
"214",1986-04-15,"ATMP",2.5
"215",1986-04-16,"ATMP",2
"216",1986-04-17,"ATMP",3.5
"217",1986-04-18,"ATMP",0.7
"218",1986-04-19,"ATMP",-0.2
"219",1986-04-20,"ATMP",-0.8
"220",1986-04-21,"ATMP",0.8
"221",1986-04-22,"ATMP",3.1
"222",1986-04-23,"ATMP",1.8
"223",1986-04-24,"ATMP",0.4
"224",1986-04-25,"ATMP",-0.8
"225",1986-04-26,"ATMP",3.1
"226",1986-04-27,"ATMP",3.5
"227",1986-04-28,"ATMP",3.5
"228",1986-04-29,"ATMP",2.7
"229",1986-04-30,"ATMP",3.6
"230",1986-05-01,"ATMP",3.4
"231",1986-05-02,"ATMP",2.9
"232",1986-05-03,"ATMP",2.2
"233",1986-05-04,"ATMP",2.1
